"id" "group" "trial" "blockNumber" "retroCueCond" "duration" "deviation" "recallError" "attentionRating" "ratingRT" "Rating" "Cue"
"7576" "before" 5 "1" 0 1939.8890000059 -29 29 4 1955.9580000118 "Before Test" "None"
"7576" "before" 5 "2" 0 2958.37700000918 -5 5 5 1185.53500000772 "Before Test" "None"
"7576" "before" 5 "4" 0 1273.33799999882 -151 151 3 1438.08099999256 "Before Test" "None"
"7576" "before" 6 "1" 1 1556.48700001405 -14 14 8 1631.98600001016 "Before Test" "Valid"
"7576" "before" 6 "2" 0 2015.59799999127 171 171 3 2051.39799999422 "Before Test" "None"
"7576" "before" 6 "3" 0 1455.40300001344 -90 90 3 1470.17400000046 "Before Test" "None"
"7576" "before" 8 "3" 1 1427.83700000215 -25 25 7 1133.06700001843 "Before Test" "Valid"
"7576" "before" 9 "3" 0 2236.74999999302 -16 16 7 1034.26900001289 "Before Test" "None"
"7578" "after" 1 "2" 0 2191.97700008354 1 1 7 3141.22400019527 "After Test" "None"
"7578" "after" 11 "3" -1 1555.13599983649 -27 27 6 2099.79099977482 "After Test" "Invalid"
"7578" "after" 12 "2" 0 2163.64000002947 -87 87 5 2160.36700008716 "After Test" "None"
"7578" "after" 14 "1" 0 2997.02399989602 2 2 6 2013.44299987098 "After Test" "None"
"7578" "after" 15 "3" 0 2959.27499981038 -23 23 6 1843.47099994449 "After Test" "None"
"7578" "after" 16 "1" 1 2184.64499977836 -36 36 8 1827.55199997465 "After Test" "Valid"
"7578" "after" 17 "2" -1 2371.94500019751 -11 11 7 2988.99099984299 "After Test" "Invalid"
"7578" "after" 17 "4" 0 1732.19399999781 -67 67 7 1825.95699998876 "After Test" "None"
"7578" "after" 19 "2" 1 2189.3400002066 4 4 8 1933.98700001254 "After Test" "Valid"
"7578" "after" 19 "3" 0 2128.27299993671 -13 13 8 2336.05000009947 "After Test" "None"
"7578" "after" 2 "1" 0 2541.54599981743 19 19 9 1846.16100014292 "After Test" "None"
"7578" "after" 20 "1" -1 3608.13599985652 -30 30 7 2650.76900004793 "After Test" "Invalid"
"7578" "after" 20 "3" 1 1815.8769998271 -38 38 7 3043.33599984599 "After Test" "Valid"
"7578" "after" 20 "4" 1 1535.72100013727 28 28 3 3768.02299996745 "After Test" "Valid"
"7578" "after" 22 "1" 0 4591.95500003849 94 94 4 1853.44600012607 "After Test" "None"
"7578" "after" 22 "4" 0 2679.46700016176 5 5 4 2125.45899981121 "After Test" "None"
"7578" "after" 23 "1" -1 2825.82100016752 -21 21 5 1988.44900004042 "After Test" "Invalid"
"7578" "after" 24 "4" 1 1375.88899977412 19 19 6 4196.15000012098 "After Test" "Valid"
"7578" "after" 25 "1" 0 2579.88099985605 56 56 7 1900.08500023116 "After Test" "None"
"7578" "after" 25 "3" 1 3216.98899987806 -7 7 7 1617.35200006329 "After Test" "Valid"
"7578" "after" 26 "3" 0 2274.0399998459 -30 30 5 2245.22200019378 "After Test" "None"
"7578" "after" 28 "3" 1 2019.86199983954 -20 20 7 1821.44099992979 "After Test" "Valid"
"7578" "after" 28 "4" -1 2576.23200018378 -17 17 5 2119.56499979831 "After Test" "Invalid"
"7578" "after" 29 "4" 0 2673.68100017775 71 71 5 2866.20100013353 "After Test" "None"
"7578" "after" 30 "2" 0 2234.04500007071 -28 28 5 2077.75899998005 "After Test" "None"
"7578" "after" 31 "2" 1 2826.29499977175 14 14 8 1985.63900017063 "After Test" "Valid"
"7578" "after" 32 "1" 1 1925.66600009764 5 5 8 2169.70500008226 "After Test" "Valid"
"7578" "after" 34 "1" 1 2519.14100007329 29 29 8 1720.09100020223 "After Test" "Valid"
"7578" "after" 34 "3" -1 1653.75499980804 114 114 6 2026.72999998555 "After Test" "Invalid"
"7578" "after" 38 "4" 1 2546.41099976981 -168 168 3 2009.03200020501 "After Test" "Valid"
"7578" "after" 4 "2" 0 2120.58799985307 11 11 7 1895.52300000377 "After Test" "None"
"7578" "after" 43 "4" 1 1457.80000002682 -7 7 7 1841.97400003485 "After Test" "Valid"
"7578" "after" 45 "4" -1 2074.63700010348 99 99 4 1780.33300005551 "After Test" "Invalid"
"7578" "after" 46 "1" 1 2877.5950001179 155 155 4 2400.08500020416 "After Test" "Valid"
"7578" "after" 47 "3" 0 2248.06999999378 -112 112 5 2266.51200015284 "After Test" "None"
"7578" "after" 7 "2" -1 2158.15400014003 91 91 6 1973.57800000394 "After Test" "Invalid"
"7578" "after" 8 "2" 1 1937.53300015372 -8 8 7 1764.52100005304 "After Test" "Valid"
"7578" "after" 9 "2" 1 1907.70400015521 -77 77 6 1636.73800003133 "After Test" "Valid"
"7578" "after" 9 "3" 1 2173.59799998859 -10 10 7 2096.5539998319 "After Test" "Valid"
"7578" "after" 9 "4" 0 2241.50799992774 23 23 4 1649.65699990373 "After Test" "None"
"7579" "after" 0 "2" 0 1781.90900014516 83 83 7 1555.53100013884 "After Test" "None"
"7579" "after" 0 "4" -1 40886.1509999766 45 45 7 2686.70900015044 "After Test" "Invalid"
"7579" "after" 1 "3" -1 1036.67100017797 -54 54 9 1736.50200008787 "After Test" "Invalid"
"7579" "after" 11 "1" 0 1835.31499996339 -7 7 7 3030.0890001501 "After Test" "None"
"7579" "after" 11 "2" 1 1650.17600017972 8 8 9 1454.16100003221 "After Test" "Valid"
"7579" "after" 12 "3" -1 1636.27399998414 -51 51 9 1868.66500001494 "After Test" "Invalid"
"7579" "after" 13 "1" 0 2078.05200010794 137 137 6 2133.1570000177 "After Test" "None"
"7579" "after" 14 "2" 0 2437.54100014211 -45 45 9 1321.29000011995 "After Test" "None"
"7579" "after" 17 "2" 1 2178.12700013141 -19 19 9 1459.1009999871 "After Test" "Valid"
"7579" "after" 18 "1" 1 1000.47900013987 -8 8 8 1854.53800009866 "After Test" "Valid"
"7579" "after" 20 "1" 1 1067.94800005411 -7 7 8 1485.7580000622 "After Test" "Valid"
"7579" "after" 20 "2" 1 1332.22000018554 -1 1 9 1305.09900000074 "After Test" "Valid"
"7579" "after" 20 "4" -1 4712.16200003354 -134 134 7 1446.94500009879 "After Test" "Invalid"
"7579" "after" 26 "3" 0 1922.33599996986 9 9 9 1827.90500014788 "After Test" "None"
"7579" "after" 26 "4" 0 2076.52699996694 -9 9 8 1868.41700006672 "After Test" "None"
"7579" "after" 27 "1" -1 1498.55700016976 -35 35 8 2199.35700006667 "After Test" "Invalid"
"7579" "after" 27 "3" 1 981.028000029037 -7 7 9 1474.7180001433 "After Test" "Valid"
"7579" "after" 3 "2" -1 1713.24300016859 40 40 8 2036.63500005845 "After Test" "Invalid"
"7579" "after" 3 "3" 0 2049.07899995847 148 148 7 1493.30199999013 "After Test" "None"
"7579" "after" 31 "1" 1 1521.88800003147 -13 13 8 1576.4510001879 "After Test" "Valid"
"7579" "after" 31 "3" 1 1062.15700013982 -27 27 9 1802.18700012052 "After Test" "Valid"
"7579" "after" 33 "2" 1 1793.54700000992 -34 34 9 1311.81399997324 "After Test" "Valid"
"7579" "after" 34 "1" 1 1522.93400006311 12 12 9 1730.48200003826 "After Test" "Valid"
"7579" "after" 34 "3" 0 1762.97700001812 78 78 7 1565.39100000332 "After Test" "None"
"7579" "after" 34 "4" 0 1297.94700007513 3 3 8 1465.34300008463 "After Test" "None"
"7579" "after" 35 "3" 1 972.39800016419 -17 17 9 1551.00900014606 "After Test" "Valid"
"7579" "after" 39 "1" -1 884.735999999451 163 163 9 1334.56200000271 "After Test" "Invalid"
"7579" "after" 39 "4" 0 2162.80900000734 -18 18 8 1609.30899998825 "After Test" "None"
"7579" "after" 4 "4" 1 2715.06900000153 -4 4 8 2522.90600007097 "After Test" "Valid"
"7579" "after" 40 "1" 0 4004.6800001451 -122 122 7 2727.58500018809 "After Test" "None"
"7579" "after" 40 "3" 0 1385.14200011455 -106 106 8 1499.94300013734 "After Test" "None"
"7579" "after" 41 "2" 0 1855.3560001658 14 14 9 1685.0839999707 "After Test" "None"
"7579" "after" 46 "1" 0 2634.31000018213 -20 20 8 1583.64600008505 "After Test" "None"
"7579" "after" 46 "3" 1 1210.81100008218 -18 18 9 1257.97800011095 "After Test" "Valid"
"7579" "after" 46 "4" 1 777.854000099469 36 36 9 1500.53599999426 "After Test" "Valid"
"7579" "after" 47 "2" 0 2342.75000008987 -11 11 7 2322.72400002531 "After Test" "None"
"7579" "after" 47 "4" 0 1587.20000008936 -21 21 9 1357.85400009179 "After Test" "None"
"7579" "after" 48 "2" -1 1467.31700001121 81 81 9 1627.02800000133 "After Test" "Invalid"
"7579" "after" 48 "4" 1 1459.69600018277 -6 6 9 1438.496000143 "After Test" "Valid"
"7579" "after" 5 "4" 1 2482.67600008752 1 1 7 1859.50700011826 "After Test" "Valid"
"7582" "after" 0 "1" 1 1101.49400000123 -13 13 9 984.375999987853 "After Test" "Valid"
"7582" "after" 0 "3" 0 1580.54499998805 0 0 8 1294.95699999447 "After Test" "None"
"7582" "after" 11 "1" -1 1543.35299999401 -175 175 9 1227.80199999484 "After Test" "Invalid"
"7582" "after" 11 "2" 0 1193.76899998856 -6 6 9 1040.34900000074 "After Test" "None"
"7582" "after" 12 "2" 1 1094.09799998894 -22 22 9 1146.68899999419 "After Test" "Valid"
"7582" "after" 14 "1" 1 775.91299999645 -14 14 9 1279.22899999854 "After Test" "Valid"
